OS,Scenario,Domain,Sent_Packets,Sent_Bytes,Recv_Packets,Recv_Bytes,isGoogle,isUpdatePayload,isFirstParty
iode,A,mobile-gtalk.l.google.com,17,1847,18,8532,True,False,False
iode,A,remoteprovisioning.googleapis.com,10,1678,10,5799,True,False,False
iode,A,www.gstatic.com,61,7417,94,78571,True,False,False
iode,B,1.android.pool.ntp.org,1,90,1,90,False,False,False
iode,B,captiveportal.kuketz.de,32,4997,32,7406,False,False,False
iode,B,content-signature-2.cdn.mozilla.net,28,3286,32,14880,False,False,False
iode,B,igmp.mcast.net,8,432,0,0,False,False,False
iode,B,mobile-gtalk.l.google.com,20,2305,23,15483,True,False,False
iode,B,remoteprovisioning.googleapis.com,10,1630,12,5672,True,False,False
iode,B,www.gstatic.com,58,7279,88,77870,True,False,False
iode,C,1.android.pool.ntp.org,1,90,1,90,False,False,False
iode,C,captiveportal.kuketz.de,16,2322,15,4910,False,False,False
iode,C,content-signature-2.cdn.mozilla.net,27,2868,25,8566,False,False,False
iode,C,igmp.mcast.net,52,2808,0,0,False,False,False
iode,C,mdns.mcast.net,1,160,0,0,False,False,False
iode,C,remoteprovisioning.googleapis.com,11,1696,12,5673,True,False,False
lineage,C,agnss.goog,62,5062,137,189827,True,False,False
lineage,C,igmp.mcast.net,6,324,0,0,False,False,False
lineage,C,mdns.mcast.net,2,247,0,0,False,False,False
lineage,C,remoteprovisioning.googleapis.com,8,1534,9,5475,True,False,False
lineage,C,time.android.com,1,90,1,90,True,False,False
lineage,C,www.google.com,10,1507,11,4303,True,False,False
lineage,C,www.gstatic.com,62,7778,95,77873,True,False,False
lineage-gapps,A,agnss.goog,63,5128,143,199443,True,False,False
lineage-gapps,A,clients.l.google.com,27,8704,27,16053,True,False,False
lineage-gapps,A,connectivitycheck.gstatic.com,16,2210,14,4732,True,False,False
lineage-gapps,A,dl.google.com,3800,257382,14548,21311862,True,True,False
lineage-gapps,A,download.lineageos.org,9,1414,10,5508,False,False,True
lineage-gapps,A,googleads.g.doubleclick.net,28,8176,26,17271,True,False,False
lineage-gapps,A,igmp.mcast.net,28,1512,0,0,False,False,False
lineage-gapps,A,mdns.mcast.net,104,30848,0,0,False,False,False
lineage-gapps,A,mobile-gtalk.l.google.com,19,2344,19,8648,True,False,False
lineage-gapps,A,play-fe.googleapis.com,97,74191,77,36459,True,False,False
